Seller SKU	Product Name	Product ID	Product ID Type	Brand	Product Description	Product Type	Style Number	Update Delete	Standard Price	Manufacturer's Suggested Retail Price	Product Tax Code	Fulfillment Latency	Launch Date	Release Date	Restock Date	Quantity	Sale Price	Sale Start Date	Sale End Date	Max Aggregate Ship Quantity	Item Package Quantity	Offering Can Be Gift Messaged	Is Gift Wrap Available	Is Discontinued by Manufacturer?	Shipping-Template	Shipping Weight	Website Shipping Weight Unit Of Measure	Item Weight Unit Of Measure	Item Weight	Item Length Unit Of Measure	Item Length	Item Width	Item Height	Key Product Features1	Key Product Features2	Key Product Features3	Key Product Features4	Key Product Features5	Recommended Browse Nodes	Search Terms	Style Keyword1	Style Keyword2	Style Keyword3	Main Image URL	Other Image URL1	Other Image URL2	Other Image URL3	Other Image URL4	Other Image URL5	Other Image URL6	Swatch Image URL	Fulfillment Center ID	Package height	Package Width	Package Length	Package Length Unit Of Measure	Package Weight	Package Weight Unit Of Measure	Parentage	Parent SKU	Relationship Type	Variation Theme	CPSIA Warning Description	Cpsia Warning	Country of Origin	Style Name	Model Year	Closure Type	Department	Color	Color Map	Size	Material Fabric	Fur Description	Pattern Style	Occasion Lifestyle	Special Features	character	Sole Material	Heel Type	Shoe Height Map	Toe Style	Water Resistance Level	Lining Description
item_sku	item_name	external_product_id	external_product_id_type	brand_name	product_description	feed_product_type	model	update_delete	standard_price	list_price	product_tax_code	fulfillment_latency	product_site_launch_date	merchant_release_date	restock_date	quantity	sale_price	sale_from_date	sale_end_date	max_aggregate_ship_quantity	item_package_quantity	offering_can_be_gift_messaged	offering_can_be_giftwrapped	is_discontinued_by_manufacturer	merchant_shipping_group_name	website_shipping_weight	website_shipping_weight_unit_of_measure	item_weight_unit_of_measure	item_weight	item_length_unit_of_measure	item_length	item_width	item_height	bullet_point1	bullet_point2	bullet_point3	bullet_point4	bullet_point5	recommended_browse_nodes	generic_keywords	style_keywords1	style_keywords2	style_keywords3	main_image_url	other_image_url1	other_image_url2	other_image_url3	other_image_url4	other_image_url5	other_image_url6	swatch_image_url	fulfillment_center_id	package_height	package_width	package_length	package_length_unit_of_measure	package_weight	package_weight_unit_of_measure	parent_child	parent_sku	relationship_type	variation_theme	cpsia_cautionary_description	cpsia_cautionary_statement	country_of_origin	style_name	model_year	closure_type	department_name	color_name	color_map	size_name	material_type	fur_description	pattern_type	lifestyle	special_features	subject_character	sole_material	heel_type	height_map	toe_style	water_resistance_level	lining_description
zsl-xxl-men-XXLXR9851-Black-47	King Wear Men's Fashion Knitting Mesh Surface Casual Outdoor Running Shoes Black US 12 (EU 46)	603432858005 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			45.99	91.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011		triathalon-multi-sport	cross-country-running	cross-trainers	http://img.hejiegm.cn/img/am/XXLXR9851/08.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/02.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/07.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/10.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/06.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/09.jpg										Child	zsl-xxl-men-XXLXR9851	Variation	sizecolor			China	model	2017		mens	Black	Black	US 12  ( EU 46 )	70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-xxl-men-XXLXR9851-Black-48	King Wear Men's Fashion Knitting Mesh Surface Casual Outdoor Running Shoes Black US 13 (EU 47)	603432858012 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			45.99	91.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011		triathalon-multi-sport	cross-country-running	cross-trainers	http://img.hejiegm.cn/img/am/XXLXR9851/08.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/02.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/07.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/10.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/06.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/09.jpg										Child	zsl-xxl-men-XXLXR9851	Variation	sizecolor			China	model	2017		mens	Black	Black	US 13  ( EU 47 )	70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-xxl-men-XXLXR9851-Red-39	King Wear Men's Fashion Knitting Mesh Surface Casual Outdoor Running Shoes Red US 6 (EU 38)	603432858029 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			45.99	91.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011		triathalon-multi-sport	cross-country-running	cross-trainers	http://img.hejiegm.cn/img/am/XXLXR9851/04.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/05.jpg														Child	zsl-xxl-men-XXLXR9851	Variation	sizecolor			China	model	2017		mens	Red	Red	US 6   ( EU 38 )	70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-xxl-men-XXLXR9851-Red-40	King Wear Men's Fashion Knitting Mesh Surface Casual Outdoor Running Shoes Red US 6.5 (EU 39)	603432858036 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			45.99	91.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011		triathalon-multi-sport	cross-country-running	cross-trainers	http://img.hejiegm.cn/img/am/XXLXR9851/04.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/05.jpg														Child	zsl-xxl-men-XXLXR9851	Variation	sizecolor			China	model	2017		mens	Red	Red	US 6.5 ( EU 39 )	70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-xxl-men-XXLXR9851-Red-41	King Wear Men's Fashion Knitting Mesh Surface Casual Outdoor Running Shoes Red US 7 (EU 40)	603432858043 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			45.99	91.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011		triathalon-multi-sport	cross-country-running	cross-trainers	http://img.hejiegm.cn/img/am/XXLXR9851/04.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/05.jpg														Child	zsl-xxl-men-XXLXR9851	Variation	sizecolor			China	model	2017		mens	Red	Red	US 7   ( EU 40 )	70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-xxl-men-XXLXR9851-Red-42	King Wear Men's Fashion Knitting Mesh Surface Casual Outdoor Running Shoes Red US 8 (EU 41)	603432858050 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			45.99	91.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011		triathalon-multi-sport	cross-country-running	cross-trainers	http://img.hejiegm.cn/img/am/XXLXR9851/04.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/05.jpg														Child	zsl-xxl-men-XXLXR9851	Variation	sizecolor			China	model	2017		mens	Red	Red	US 8   ( EU 41 )	70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-xxl-men-XXLXR9851-Red-43	King Wear Men's Fashion Knitting Mesh Surface Casual Outdoor Running Shoes Red US 8.5 (EU 42)	603432858067 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			45.99	91.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011		triathalon-multi-sport	cross-country-running	cross-trainers	http://img.hejiegm.cn/img/am/XXLXR9851/04.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/05.jpg														Child	zsl-xxl-men-XXLXR9851	Variation	sizecolor			China	model	2017		mens	Red	Red	US 8.5 ( EU 42 )	70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-xxl-men-XXLXR9851-Red-44	King Wear Men's Fashion Knitting Mesh Surface Casual Outdoor Running Shoes Red US 9.5 (EU 43)	603432858074 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			45.99	91.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011		triathalon-multi-sport	cross-country-running	cross-trainers	http://img.hejiegm.cn/img/am/XXLXR9851/04.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/05.jpg														Child	zsl-xxl-men-XXLXR9851	Variation	sizecolor			China	model	2017		mens	Red	Red	US 9.5 ( EU 43 )	70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-xxl-men-XXLXR9851-Blue-39	King Wear Men's Fashion Knitting Mesh Surface Casual Outdoor Running Shoes Blue US 6 (EU 38)	603432858081 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			45.99	91.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011		triathalon-multi-sport	cross-country-running	cross-trainers	http://img.hejiegm.cn/img/am/XXLXR9851/03.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/01.jpg														Child	zsl-xxl-men-XXLXR9851	Variation	sizecolor			China	model	2017		mens	Blue	Blue	US 6   ( EU 38 )	70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-xxl-men-XXLXR9851-Blue-40	King Wear Men's Fashion Knitting Mesh Surface Casual Outdoor Running Shoes Blue US 6.5 (EU 39)	603432858098 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			45.99	91.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011		triathalon-multi-sport	cross-country-running	cross-trainers	http://img.hejiegm.cn/img/am/XXLXR9851/03.jpg	http://img.hejiegm.cn/img/am/XXLXR9851/01.jpg														Child	zsl-xxl-men-XXLXR9851	Variation	sizecolor			China	model	2017		mens	Blue	Blue	US 6.5 ( EU 39 )	70% Mesh fabric/30% Rubber		Solid	Sports								
